,Element-type,Size,Shape,Data-type
AwakeEventData,Group,,,
AwakeEventData/AIRTR01,Group,,,
AwakeEventData/AIRTR01/Acq,Group,,,
AwakeEventData/AIRTR01/Acq/numericPosition,Dataset,1,"(1,)",float32
AwakeEventData/AIRTR02,Group,,,
AwakeEventData/AIRTR02/Acq,Group,,,
AwakeEventData/AIRTR02/Acq/numericPosition,Dataset,1,"(1,)",float32
AwakeEventData/AWAKEInjPhaseShifter,Group,,,
AwakeEventData/AWAKEInjPhaseShifter/PhaseReadback,Group,,,
AwakeEventData/AWAKEInjPhaseShifter/PhaseReadback/phaseACurrentValue,Dataset,1,"(1,)",float32
AwakeEventData/BLMITT41,Group,,,
AwakeEventData/BLMITT41/Acquisition,Group,,,
AwakeEventData/BLMITT41/Acquisition/acqDesc,Dataset,1,"(1,)",|S1
AwakeEventData/BLMITT41/Acquisition/acqMsg,Dataset,1,"(1,)",|S1
AwakeEventData/BLMITT41/Acquisition/acqState,Dataset,1,"(1,)",int32
AwakeEventData/BLMITT41/Acquisition/acqTime,Dataset,1,"(1,)",int32
AwakeEventData/BLMITT41/Acquisition/alarmStatus,Dataset,40,"(40,)",int16
AwakeEventData/BLMITT41/Acquisition/blrSignalStatus,Dataset,40,"(40,)",int16
AwakeEventData/BLMITT41/Acquisition/calLosses,Dataset,40,"(40,)",float32
AwakeEventData/BLMITT41/Acquisition/calLosses_unit,Dataset,1,"(1,)",|S4
AwakeEventData/BLMITT41/Acquisition/calLosses_unitExponent,Dataset,1,"(1,)",int32
AwakeEventData/BLMITT41/Acquisition/calThresholds,Dataset,40,"(40,)",float32
AwakeEventData/BLMITT41/Acquisition/channelNames,Dataset,15,"(15,)",|S15
AwakeEventData/BLMITT41/Acquisition/deviceName,Dataset,1,"(1,)",|S5
AwakeEventData/BLMITT41/Acquisition/enableExtFlagBIC,Dataset,2,"(2,)",int32
AwakeEventData/BLMITT41/Acquisition/measStamp,Dataset,1,"(1,)",int32
AwakeEventData/BLMITT41/Acquisition/nbOfChannels,Dataset,1,"(1,)",int32
AwakeEventData/BLMITT41/Acquisition/nbOfMeas,Dataset,1,"(1,)",int32
AwakeEventData/BLMITT41/Acquisition/normLosses,Dataset,40,"(40,)",float32
AwakeEventData/BLMITT41/Acquisition/observables,Dataset,1,"(1,)",int32
AwakeEventData/BLMITT41/Acquisition/rawLosses,Dataset,40,"(40,)",int16
AwakeEventData/BLMITT41/Acquisition/superCycleNb,Dataset,1,"(1,)",int32
AwakeEventData/BLMITT41/Acquisition/totalGains,Dataset,5,"(5,)",int32
AwakeEventData/BOVWA.01TCC4.AWAKECAM01,Group,,,
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,Group,,,
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/beamIntensity,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/beamSize,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/cogX,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/cogY,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/height,Dataset,1,"(1,)",int32
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjAmp,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjAvg,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjSigma,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjection,Dataset,2048,"(2048,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/imageRawData,Dataset,2211840,"(1080, 2048)",int16
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/imageTimeStamp,Dataset,1,"(1,)",int64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensityAvg,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensityHistogram,Dataset,1000,"(1000,)",int32
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensityRMS,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensitySigma,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/pixelSize,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjAmp,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjAvg,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjSigma,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjection,Dataset,1080,"(1080,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/width,Dataset,1,"(1,)",int32
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings,Group,,,
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/delayTime,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/exposureTime,Dataset,1,"(1,)",float64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/gain,Dataset,1,"(1,)",int64
AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/triggerMode,Dataset,1,"(1,)",|S2
AwakeEventData/BOVWA.01TCV4.CAM8,Group,,,
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,Group,,,
AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/beamIntensity,Dataset,1,"(1,)",float64
